Provider, Title Score : 0, Title Score : 0.25, Title Score : 0.5, Title Score : 0.75, Title Score : 1, Title Score : 1.5, Title Score : 2
AREMA, 54, 276, 1068, 286, 3416, 562, 47324
CHAPTERAUTO, 359, 5176, 813, 10469, 2990, 5118, 33308
CRYO, 13, 196, 1182, 893, 6463, 136, 51233
DALET, 5, 147, 502, 278, 4261, 449, 55133
INGESTVOD, 0, 1, 420, 1, 2587, 1, 5407
LIVECENTER, 180, 749, 265, 3328, 763, 1454, 3700
NETIA, 152, 1803, 502, 4749, 1922, 2322, 11874
WHATSON, 948, 3618, 1724, 7058, 4474, 4133, 13998
YOUTUBE, 130, 2, 633, 3, 2538, 2, 53376
SmallProv, 13, 3, 208, 10, 788, 2, 4933
